gradient_weight,merge_weight,mean_score,mean_max_tile,median_score,median_max_tile
0.0,0.0,524.4,224.0,560,256
0.0,10.0,1972.6,1356.8,2316,2048
0.0,20.0,1712.4,1088.0,1614,1024
0.0,30.0,1911.6,1280.0,2004,1024
0.0,40.0,1732.8,934.4,1766,1024
0.0,50.0,1540.2,844.8,1450,1024
0.0,60.0,1893.8,1036.8,2034,1024
0.0,70.0,1551.4,896.0,1550,1024
0.0,80.0,1713.0,921.6,1768,1024
0.0,90.0,1512.8,832.0,1706,1024
0.0,100.0,2178.6,1177.6,2150,1024
10.0,0.0,11584.4,7168.0,12240,8192
10.0,10.0,11325.0,6144.0,12344,8192
10.0,20.0,10682.4,6758.4,11468,8192
